Log start on,2018-05-30 09:51:32
Feature,Gyroscope
Nodes,BM2V220 @30364D, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
30/05/2018 09:51:32.128,34,BM2V220 @30364D,38876,FEFF1400F9FF,-0.2,2.0,-0.7,
30/05/2018 09:51:32.176,82,BM2V220 @30364D,38882,FDFF1200FEFF,-0.3,1.8,-0.2,
30/05/2018 09:51:32.225,131,BM2V220 @30364D,38888,FAFF15000000,-0.6,2.1,0.0,
30/05/2018 09:51:32.274,180,BM2V220 @30364D,38894,FFFF0E000100,-0.1,1.4,0.1,
30/05/2018 09:51:32.323,229,BM2V220 @30364D,38901,00000E000000,0.0,1.4,0.0,
30/05/2018 09:51:32.371,277,BM2V220 @30364D,38907,FEFF1100FEFF,-0.2,1.7,-0.2,
30/05/2018 09:51:32.420,326,BM2V220 @30364D,38913,F7FF1900F4FF,-0.9,2.5,-1.2,
30/05/2018 09:51:32.469,375,BM2V220 @30364D,38919,F9FF1900F2FF,-0.7,2.5,-1.4,
30/05/2018 09:51:32.524,430,BM2V220 @30364D,38926,FFFF1200F8FF,-0.1,1.8,-0.8,
30/05/2018 09:51:32.616,522,BM2V220 @30364D,38932,FFFF1500F8FF,-0.1,2.1,-0.8,
30/05/2018 09:51:32.664,570,BM2V220 @30364D,38938,FCFF1500F8FF,-0.4,2.1,-0.8,
30/05/2018 09:51:32.713,619,BM2V220 @30364D,38944,FEFF0F00FEFF,-0.2,1.5,-0.2,
30/05/2018 09:51:32.761,667,BM2V220 @30364D,38951,00000E000000,0.0,1.4,0.0,
30/05/2018 09:51:32.810,716,BM2V220 @30364D,38957,02000E000000,0.2,1.4,0.0,
30/05/2018 09:51:32.859,765,BM2V220 @30364D,38963,09000A00FFFF,0.9,1.0,-0.1,
30/05/2018 09:51:32.909,815,BM2V220 @30364D,38969,09000B00FDFF,0.9,1.1,-0.3,
30/05/2018 09:51:32.956,862,BM2V220 @30364D,38976,04000F00FCFF,0.4,1.5,-0.4,
30/05/2018 09:51:33.005,911,BM2V220 @30364D,38982,F9FF11000200,-0.7,1.7,0.2,
30/05/2018 09:51:33.054,960,BM2V220 @30364D,38988,F4FF0B000E00,-1.2,1.1,1.4,
30/05/2018 09:51:33.102,1008,BM2V220 @30364D,38994,F3FFD8FF2100,-1.3,-4.0,3.3,
30/05/2018 09:51:33.151,1057,BM2V220 @30364D,39001,1000EFFF2300,1.6,-1.7,3.5,
30/05/2018 09:51:33.200,1106,BM2V220 @30364D,39007,330003000500,5.1,0.3,0.5,
30/05/2018 09:51:33.249,1155,BM2V220 @30364D,39013,300209FF2700,56.0,-24.7,3.9,
30/05/2018 09:51:33.298,1204,BM2V220 @30364D,39019,49066EFE8EFF,160.9,-40.2,-11.4,
30/05/2018 09:51:33.346,1253,BM2V220 @30364D,39026,5F0708FF18FE,188.7,-24.8,-48.8,
30/05/2018 09:51:33.396,1302,BM2V220 @30364D,39032,35026C02BAFF,56.5,62.0,-7.0,
30/05/2018 09:51:33.444,1350,BM2V220 @30364D,39038,72FD20017D01,-65.4,28.8,38.1,
30/05/2018 09:51:33.493,1399,BM2V220 @30364D,39044,40FBB6007C01,-121.6,18.2,38.0,
30/05/2018 09:51:33.541,1447,BM2V220 @30364D,39051,0EF9E600C901,-177.8,23.0,45.7,
30/05/2018 09:51:33.590,1496,BM2V220 @30364D,39057,94F7D900F601,-215.6,21.7,50.2,
30/05/2018 09:51:33.639,1545,BM2V220 @30364D,39063,4BF99E004101,-171.7,15.8,32.1,
30/05/2018 09:51:33.687,1593,BM2V220 @30364D,39069,07FC07004F00,-101.7,0.7,7.9,
30/05/2018 09:51:33.736,1642,BM2V220 @30364D,39076,2201EAFF7B00,29.0,-2.2,12.3,
30/05/2018 09:51:33.785,1691,BM2V220 @30364D,39082,0407AD0285FD,179.6,68.5,-63.5,
30/05/2018 09:51:33.834,1740,BM2V220 @30364D,39088,70074CFD19FF,190.4,-69.2,-23.1,
30/05/2018 09:51:33.882,1788,BM2V220 @30364D,39094,3502C60074FF,56.5,19.8,-14.0,
30/05/2018 09:51:33.931,1837,BM2V220 @30364D,39101,02003D00CBFF,0.2,6.1,-5.3,
30/05/2018 09:51:33.980,1886,BM2V220 @30364D,39107,FCFF0C000700,-0.4,1.2,0.7,
30/05/2018 09:51:34.029,1935,BM2V220 @30364D,39113,F2FF02000200,-1.4,0.2,0.2,
30/05/2018 09:51:34.078,1984,BM2V220 @30364D,39119,EAFF5D00CFFF,-2.2,9.3,-4.9,
30/05/2018 09:51:34.127,2033,BM2V220 @30364D,39126,EFFF3500ECFF,-1.7,5.3,-2.0,
30/05/2018 09:51:34.175,2081,BM2V220 @30364D,39132,D4FF5300D6FF,-4.4,8.3,-4.2,
30/05/2018 09:51:34.224,2130,BM2V220 @30364D,39138,F7FF2B00DDFF,-0.9,4.3,-3.5,
30/05/2018 09:51:34.273,2179,BM2V220 @30364D,39144,F6FF3100D4FF,-1.0,4.9,-4.4,
